Country,"Cost per GB, excl conn (US$ PPP)",Country Code
South Africa,22.37199407,ZAF
Kenya,22.32878634,KEN
Kenya,22.30945405,KEN
Kenya,22.30945405,KEN
Tanzania,22.30724484,TZA
Zambia,22.27507292,ZMB
Australia,22.24942053,AUS
Mozambique,22.23490938,MOZ
Kenya,22.23212492,KEN
Greece,22.12178434,GRC
Switzerland,22.11161144,CHE
Yemen,22.10991636,YEM
Mexico,22.10410127,MEX
Mexico,22.03524114,MEX
Mexico,22.03524114,MEX
Bolivia,22.02809443,BOL
Bolivia,21.89809606,BOL
Uzbekistan,21.88108148,UZB
Nigeria,21.85433031,NGA
Chile,21.83691254,CHL
Slovak Republic,21.77502096,SVK
Mexico,21.73684725,MEX
Mexico,21.64503375,MEX
Spain,21.58773426,ESP
