Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Indonesia,9.08,IDN
Indonesia,61.96,IDN
Indonesia,30.98,IDN
Indonesia,7.74,IDN
Indonesia,6.3,IDN
Indonesia,6.05,IDN
Indonesia,5.04,IDN
Indonesia,15.49,IDN
Indonesia,19.36,IDN
Indonesia,15.49,IDN
Indonesia,7.56,IDN
Indonesia,6.3,IDN
Indonesia,4.25,IDN
Indonesia,6.05,IDN
Indonesia,5.04,IDN
Indonesia,3.78,IDN
Indonesia,8.51,IDN
Indonesia,7.56,IDN
Indonesia,4.2,IDN
Indonesia,61.96,IDN
Indonesia,48.41,IDN
Indonesia,38.72,IDN
Indonesia,30.98,IDN
Indonesia,9.11,IDN
Indonesia,6.45,IDN
Indonesia,6.3,IDN
Indonesia,4.54,IDN
Indonesia,4.32,IDN
Indonesia,8.51,IDN
Indonesia,7.56,IDN
Indonesia,4.16,IDN
Indonesia,4.94,IDN
Indonesia,6.45,IDN
Indonesia,10.33,IDN
Indonesia,20.65,IDN
Iraq,48.3,IRQ
Iraq,14.49,IRQ
Iraq,14.49,IRQ
Iraq,14.49,IRQ
Iraq,15.46,IRQ
Iraq,17.39,IRQ
Iraq,96.61,IRQ
Iraq,51.52,IRQ
Iraq,36.23,IRQ
Iraq,24.15,IRQ
Iraq,14.49,IRQ
Israel,5.87,ISR
Israel,#VALUE!,ISR
